"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","responses","question_order","currentStim","old","correct"
"2670.2350000014994","","","recognition","survey-text","534","1887453","0.0-6.0-3.75","3359938","co38104","norming","","","{""guess"":""Stier ""}","","../img/tt/001tt.jpg","",""
"null","../img/gs/001gs.jpg","null","reveal","image-keyboard-response","535","1889455","0.0-6.0-4.75","3359938","co38104","norming","","","","","","",""
"null","../img/tt/001tt.jpg","null","mooney2","image-keyboard-response","536","1891457","0.0-6.0-5.75","3359938","co38104","norming","","","","","","",""
"2633.714999999851","","","post_reveal_questions","survey-likert","537","1894093","0.0-6.0-6.75","3359938","co38104","norming","","","{""aha"":0}","[0]","../img/tt/001tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","538","1894304","0.0-6.0-0.76","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1118tt.jpg","null","mooney1","image-keyboard-response","539","1897308","0.0-6.0-1.76","3359938","co38104","norming","","","","","","",""
"9421.875","","","post_mooney1_questions","survey-likert","540","1906733","0.0-6.0-2.76","3359938","co38104","norming","","","{""curiosity"":4,""confidence"":1}","[0,1]","../img/tt/1118tt.jpg","",""
"2142.280000000028","","","recognition","survey-text","541","1908877","0.0-6.0-3.76","3359938","co38104","norming","","","{""guess"":""Wiel ""}","","../img/tt/1118tt.jpg","",""
"null","../img/gs/1118gs.jpg","null","reveal","image-keyboard-response","542","1910879","0.0-6.0-4.76","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1118tt.jpg","null","mooney2","image-keyboard-response","543","1912882","0.0-6.0-5.76","3359938","co38104","norming","","","","","","",""
"3472.1049999969546","","","post_reveal_questions","survey-likert","544","1916357","0.0-6.0-6.76","3359938","co38104","norming","","","{""aha"":0}","[0]","../img/tt/1118tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","545","1916567","0.0-6.0-0.77","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1055tt.jpg","null","mooney1","image-keyboard-response","546","1919577","0.0-6.0-1.77","3359938","co38104","norming","","","","","","",""
"8480.329999998678","","","post_mooney1_questions","survey-likert","547","1928061","0.0-6.0-2.77","3359938","co38104","norming","","","{""curiosity"":4,""confidence"":1}","[0,1]","../img/tt/1055tt.jpg","",""
"13949.85499999905","","","recognition","survey-text","548","1942013","0.0-6.0-3.77","3359938","co38104","norming","","","{""guess"":""Man onder brug in water ""}","","../img/tt/1055tt.jpg","",""
"null","../img/gs/1055gs.jpg","null","reveal","image-keyboard-response","549","1944028","0.0-6.0-4.77","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1055tt.jpg","null","mooney2","image-keyboard-response","550","1946032","0.0-6.0-5.77","3359938","co38104","norming","","","","","","",""
"4153.680000003194","","","post_reveal_questions","survey-likert","551","1950187","0.0-6.0-6.77","3359938","co38104","norming","","","{""aha"":3}","[0]","../img/tt/1055tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","552","1950389","0.0-6.0-0.78","3359938","co38104","norming","","","","","","",""
"null","../img/tt/273tt.jpg","null","mooney1","image-keyboard-response","553","1953401","0.0-6.0-1.78","3359938","co38104","norming","","","","","","",""
"4085.995000001276","","","post_mooney1_questions","survey-likert","554","1957491","0.0-6.0-2.78","3359938","co38104","norming","","","{""curiosity"":5,""confidence"":5}","[0,1]","../img/tt/273tt.jpg","",""
"13934.280000001425","","","recognition","survey-text","555","1971427","0.0-6.0-3.78","3359938","co38104","norming","","","{""guess"":""mond van iemand met blokjes die tong uitsteekt ""}","","../img/tt/273tt.jpg","",""
"null","../img/gs/273gs.jpg","null","reveal","image-keyboard-response","556","1973428","0.0-6.0-4.78","3359938","co38104","norming","","","","","","",""
"null","../img/tt/273tt.jpg","null","mooney2","image-keyboard-response","557","1975438","0.0-6.0-5.78","3359938","co38104","norming","","","","","","",""
"2313.535000001313","","","post_reveal_questions","survey-likert","558","1977755","0.0-6.0-6.78","3359938","co38104","norming","","","{""aha"":5}","[0]","../img/tt/273tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","559","1977965","0.0-6.0-0.79","3359938","co38104","norming","","","","","","",""
"null","../img/tt/599tt.jpg","null","mooney1","image-keyboard-response","560","1980969","0.0-6.0-1.79","3359938","co38104","norming","","","","","","",""
"3704.179999997141","","","post_mooney1_questions","survey-likert","561","1984675","0.0-6.0-2.79","3359938","co38104","norming","","","{""curiosity"":5,""confidence"":1}","[0,1]","../img/tt/599tt.jpg","",""
"5022.0549999976065","","","recognition","survey-text","562","1989699","0.0-6.0-3.79","3359938","co38104","norming","","","{""guess"":""Persoon met masker ""}","","../img/tt/599tt.jpg","",""
"null","../img/gs/599gs.jpg","null","reveal","image-keyboard-response","563","1991708","0.0-6.0-4.79","3359938","co38104","norming","","","","","","",""
"null","../img/tt/599tt.jpg","null","mooney2","image-keyboard-response","564","1993719","0.0-6.0-5.79","3359938","co38104","norming","","","","","","",""
"1496.709999999497","","","post_reveal_questions","survey-likert","565","1995218","0.0-6.0-6.79","3359938","co38104","norming","","","{""aha"":4}","[0]","../img/tt/599tt.jpg","",""
"25536.555000002496","<div style='word-wrap: break-word; width: 900px'><h3>Part 2</h3><p>You completed the first phase of the experiment.</p><p>In the next phase you will again see a series of distorted images, some of which you have already encountered in the previous phase.</p><p>You will be asked to indicate whether the image was an old or a new one (one not seen in the previous phase) and subsequently to recognize what is depicted if you can.</p><p>Press any key to start the new phase</p></div>","32","instructions","html-keyboard-response","566","2020756","0.0-7.0","3359938","co38104","norming","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","567","2020964","0.0-8.0-0.0","3359938","co38104","norming","","","","","","",""
"null","../img/tt/442tt.jpg","null","ph2_mooney","image-keyboard-response","568","2022972","0.0-8.0-1.0","3359938","co38104","norming","","","","","","",""
"4277.314999999246","<p></p>","78","familiar","html-keyboard-response","569","2027250","0.0-8.0-2.0","3359938","co38104","norming","","","","","../img/tt/442tt.jpg","y","false"
"5758.135000000009","","","ph2_recognition","survey-text","570","2033010","0.0-8.0-3.0","3359938","co38104","norming","","","{""recognition"":""""}","","../img/tt/442tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","571","2033216","0.0-8.0-0.1","3359938","co38104","norming","","","","","","",""
"null","../img/tt/522tt.jpg","null","ph2_mooney","image-keyboard-response","572","2035217","0.0-8.0-1.1","3359938","co38104","norming","","","","","","",""
"1999.7400000030175","<p></p>","89","familiar","html-keyboard-response","573","2037218","0.0-8.0-2.1","3359938","co38104","norming","","","","","../img/tt/522tt.jpg","y","true"
"2223.1399999982677","","","ph2_recognition","survey-text","574","2039442","0.0-8.0-3.1","3359938","co38104","norming","","","{""recognition"":""Kat ""}","","../img/tt/522tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","575","2039648","0.0-8.0-0.2","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1241tt.jpg","null","ph2_mooney","image-keyboard-response","576","2041659","0.0-8.0-1.2","3359938","co38104","norming","","","","","","",""
"2566.2149999989197","<p></p>","78","familiar","html-keyboard-response","577","2044228","0.0-8.0-2.2","3359938","co38104","norming","","","","","../img/tt/1241tt.jpg","n","true"
"658.4750000000931","","","ph2_recognition","survey-text","578","2044890","0.0-8.0-3.2","3359938","co38104","norming","","","{""recognition"":""""}","","../img/tt/1241tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","579","2045092","0.0-8.0-0.3","3359938","co38104","norming","","","","","","",""
"null","../img/tt/435tt.jpg","null","ph2_mooney","image-keyboard-response","580","2047098","0.0-8.0-1.3","3359938","co38104","norming","","","","","","",""
"2632.0100000011735","<p></p>","78","familiar","html-keyboard-response","581","2049731","0.0-8.0-2.3","3359938","co38104","norming","","","","","../img/tt/435tt.jpg","n","true"
"10859.23499999987","","","ph2_recognition","survey-text","582","2060594","0.0-8.0-3.3","3359938","co38104","norming","","","{""recognition"":""Man pooltafel ""}","","../img/tt/435tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","583","2060801","0.0-8.0-0.4","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1171tt.jpg","null","ph2_mooney","image-keyboard-response","584","2062809","0.0-8.0-1.4","3359938","co38104","norming","","","","","","",""
"1991.8849999995437","<p></p>","89","familiar","html-keyboard-response","585","2064803","0.0-8.0-2.4","3359938","co38104","norming","","","","","../img/tt/1171tt.jpg","y","true"
"9323.510000002105","","","ph2_recognition","survey-text","586","2074123","0.0-8.0-3.4","3359938","co38104","norming","","","{""recognition"":""Dansende vrouw ""}","","../img/tt/1171tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","587","2074334","0.0-8.0-0.5","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1228tt.jpg","null","ph2_mooney","image-keyboard-response","588","2076341","0.0-8.0-1.5","3359938","co38104","norming","","","","","","",""
"1700.154999998631","<p></p>","78","familiar","html-keyboard-response","589","2078043","0.0-8.0-2.5","3359938","co38104","norming","","","","","../img/tt/1228tt.jpg","y","false"
"2083.2899999986403","","","ph2_recognition","survey-text","590","2080131","0.0-8.0-3.5","3359938","co38104","norming","","","{""recognition"":""""}","","../img/tt/1228tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","591","2080339","0.0-8.0-0.6","3359938","co38104","norming","","","","","","",""
"null","../img/tt/020tt.jpg","null","ph2_mooney","image-keyboard-response","592","2082343","0.0-8.0-1.6","3359938","co38104","norming","","","","","","",""
"1251.5749999983236","<p></p>","78","familiar","html-keyboard-response","593","2083596","0.0-8.0-2.6","3359938","co38104","norming","","","","","../img/tt/020tt.jpg","n","true"
"1305.8500000007916","","","ph2_recognition","survey-text","594","2084907","0.0-8.0-3.6","3359938","co38104","norming","","","{""recognition"":""""}","","../img/tt/020tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","595","2085116","0.0-8.0-0.7","3359938","co38104","norming","","","","","","",""
"null","../img/tt/1181tt.jpg","null","ph2_mooney","image-keyboard-response","596","2087125","0.0-8.0-1.7","3359938","co38104","norming","","","","","","",""
"1748.9750000021886","<p></p>","89","familiar","html-keyboard-response","597","2088876","0.0-8.0-2.7","3359938","co38104","norming","","","","","../img/tt/1181tt.jpg","y","true"
"13019.325000001118","","","ph2_recognition","survey-text","598","2101899","0.0-8.0-3.7","3359938","co38104","norming","","","{""recognition"":""Hockeyspelers ""}","","../img/tt/1181tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","599","2102100","0.0-8.0-0.8","3359938","co38104","norming","","","","","","",""
"null","../img/tt/301tt.jpg","null","ph2_mooney","image-keyboard-response","600","2104106","0.0-8.0-1.8","3359938","co38104","norming","","","","","","",""
"1351.49500000244","<p></p>","78","familiar","html-keyboard-response","601","2105468","0.0-8.0-2.8","3359938","co38104","norming","","","","","../img/tt/301tt.jpg","n","true"
"1635.0950000016019","","","ph2_recognition","survey-text","602","2107107","0.0-8.0-3.8","3359938","co38104","norming","","","{""recognition"":""""}","","../img/tt/301tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","603","2107310","0.0-8.0-0.9","3359938","co38104","norming","","","","","","",""
"null","../img/tt/296tt.jpg","null","ph2_mooney","image-keyboard-response","604","2109318","0.0-8.0-1.9","3359938","co38104","norming","","","","","","",""
"1108.9049999974668","<p></p>","89","familiar","html-keyboard-response","605","2110428","0.0-8.0-2.9","3359938","co38104","norming","","","","","../img/tt/296tt.jpg","y","true"
"9771.164999998175","","","ph2_recognition","survey-text","606","2120203","0.0-8.0-3.9","3359938","co38104","norming","","","{""recognition"":""Soort bed ""}","","../img/tt/296tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","607","2120406","0.0-8.0-0.10","3359938","co38104","norming","","","","","","",""
"null","../img/tt/300tt.jpg","null","ph2_mooney","image-keyboard-response","608","2122417","0.0-8.0-1.10","3359938","co38104","norming","","","","","","",""
"1607.535000002943","<p></p>","89","familiar","html-keyboard-response","609","2124027","0.0-8.0-2.10","3359938","co38104","norming","","","","","../img/tt/300tt.jpg","y","true"
"9070.72500000149","","","ph2_recognition","survey-text","610","2133102","0.0-8.0-3.10","3359938","co38104","norming","","","{""recognition"":""2 indische? vrouwen ""}","","../img/tt/300tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","611","2133307","0.0-8.0-0.11","3359938","co38104","norming","","","","","","",""
"null","../img/tt/357tt.jpg","null","ph2_mooney","image-keyboard-response","612","2135315","0.0-8.0-1.11","3359938","co38104","norming","","","","","","",""
"1113.0749999973923","<p></p>","78","familiar","html-keyboard-response","613","2136429","0.0-8.0-2.11","3359938","co38104","norming","","","","","../img/tt/357tt.jpg","n","true"
"1758.0000000018626","","","ph2_recognition","survey-text","614","2138189","0.0-8.0-3.11","3359938","co38104","norming","","","{""recognition"":""""}","","../img/tt/357tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","615","2138399","0.0-8.0-0.12","3359938","co38104","norming","","","","","","",""
"null","../img/tt/534tt.jpg","null","ph2_mooney","image-keyboard-response","616","2140410","0.0-8.0-1.12","3359938","co38104","norming","","","","","","",""
"897.7899999991059","<p></p>","78","familiar","html-keyboard-response","617","2141309","0.0-8.0-2.12","3359938","co38104","norming","","","","","../img/tt/534tt.jpg","n","true"
"1470.4899999997579","","","ph2_recognition","survey-text","618","2142781","0.0-8.0-3.12","3359938","co38104","norming","","","{""recognition"":""""}","","../img/tt/534tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","619","2142983","0.0-8.0-0.13","3359938","co38104","norming","","","","","","",""
"null","../img/tt/096tt.jpg","null","ph2_mooney","image-keyboard-response","620","2144986","0.0-8.0-1.13","3359938","co38104","norming","","","","","","",""
"257.20999999996275","<p></p>","89","familiar","html-keyboard-response","621","2145245","0.0-8.0-2.13","3359938","co38104","norming","","","","","../img/tt/096tt.jpg","y","true"
"2430.624999997206","","","ph2_recognition","survey-text","622","2147677","0.0-8.0-3.13","3359938","co38104","norming","","","{""recognition"":""Piano ""}","","../img/tt/096tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","623","2147887","0.0-8.0-0.14","3359938","co38104","norming","","","","","","",""
