"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","responses","question_order","currentStim","old","correct"
"2258.529999999155","","","post_reveal_questions","survey-likert","33","501472","0.0-6.0-6.3","3411512","coCA","norming","","","{""aha"":5}","[0]","../img/tt/1269tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","34","501677","0.0-6.0-0.4","3411512","coCA","norming","","","","","","",""
"null","../img/tt/135tt.jpg","null","mooney1","image-keyboard-response","35","504682","0.0-6.0-1.4","3411512","coCA","norming","","","","","","",""
"4876.139999998442","","","post_mooney1_questions","survey-likert","36","509560","0.0-6.0-2.4","3411512","coCA","norming","","","{""curiosity"":5,""confidence"":2}","[0,1]","../img/tt/135tt.jpg","",""
"7478.90499999997","","","recognition","survey-text","37","517041","0.0-6.0-3.4","3411512","coCA","norming","","","{""guess"":""wc-bril""}","","../img/tt/135tt.jpg","",""
"null","../img/gs/135gs.jpg","null","reveal","image-keyboard-response","38","519050","0.0-6.0-4.4","3411512","coCA","norming","","","","","","",""
"null","../img/tt/135tt.jpg","null","mooney2","image-keyboard-response","39","521063","0.0-6.0-5.4","3411512","coCA","norming","","","","","","",""
"2683.114999999758","","","post_reveal_questions","survey-likert","40","523749","0.0-6.0-6.4","3411512","coCA","norming","","","{""aha"":2}","[0]","../img/tt/135tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","523951","0.0-6.0-0.5","3411512","coCA","norming","","","","","","",""
"null","../img/tt/079tt.jpg","null","mooney1","image-keyboard-response","42","526961","0.0-6.0-1.5","3411512","coCA","norming","","","","","","",""
"6169.1100000006845","","","post_mooney1_questions","survey-likert","43","533132","0.0-6.0-2.5","3411512","coCA","norming","","","{""curiosity"":4,""confidence"":2}","[0,1]","../img/tt/079tt.jpg","",""
"2150.464999998687","","","recognition","survey-text","44","535284","0.0-6.0-3.5","3411512","coCA","norming","","","{""guess"":""beer""}","","../img/tt/079tt.jpg","",""
"null","../img/gs/079gs.jpg","null","reveal","image-keyboard-response","45","537291","0.0-6.0-4.5","3411512","coCA","norming","","","","","","",""
"null","../img/tt/079tt.jpg","null","mooney2","image-keyboard-response","46","539298","0.0-6.0-5.5","3411512","coCA","norming","","","","","","",""
"1927.6900000005262","","","post_reveal_questions","survey-likert","47","541228","0.0-6.0-6.5","3411512","coCA","norming","","","{""aha"":2}","[0]","../img/tt/079tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","48","541433","0.0-6.0-0.6","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1189tt.jpg","null","mooney1","image-keyboard-response","49","544436","0.0-6.0-1.6","3411512","coCA","norming","","","","","","",""
"9750.070000000065","","","post_mooney1_questions","survey-likert","50","554189","0.0-6.0-2.6","3411512","coCA","norming","","","{""curiosity"":2,""confidence"":0}","[0,1]","../img/tt/1189tt.jpg","",""
"3942.2599999997765","","","recognition","survey-text","51","558133","0.0-6.0-3.6","3411512","coCA","norming","","","{""guess"":""zee""}","","../img/tt/1189tt.jpg","",""
"null","../img/gs/1189gs.jpg","null","reveal","image-keyboard-response","52","560135","0.0-6.0-4.6","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1189tt.jpg","null","mooney2","image-keyboard-response","53","562143","0.0-6.0-5.6","3411512","coCA","norming","","","","","","",""
"3691.3349999996135","","","post_reveal_questions","survey-likert","54","565836","0.0-6.0-6.6","3411512","coCA","norming","","","{""aha"":3}","[0]","../img/tt/1189tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","55","566042","0.0-6.0-0.7","3411512","coCA","norming","","","","","","",""
