"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","../img/gs/195gs.jpg","","solution","image-keyboard-response","1853","2898374","0.0-2.0-3.308","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/195tt.jpg","","mooney2","image-keyboard-response","1854","2900383","0.0-2.0-4.308","GP","2","pretest","true","3528904","null","","",""
"446","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1855","2900830","0.0-2.0-5.308","GP","2","pretest","true","3528904","49","../img/tt/195tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1856","2901042","0.0-2.0-0.309","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/265tt.jpg","","mooney1","image-keyboard-response","1857","2904043","0.0-2.0-1.309","GP","2","pretest","true","3528904","null","../img/tt/265tt.jpg","",""
"1534","<p></p>","","recognized","html-keyboard-response","1858","2905579","0.0-2.0-2.309","GP","2","pretest","true","3528904","78","../img/tt/265tt.jpg","n",""
"null","../img/gs/265gs.jpg","","solution","image-keyboard-response","1859","2907582","0.0-2.0-3.309","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/265tt.jpg","","mooney2","image-keyboard-response","1860","2909588","0.0-2.0-4.309","GP","2","pretest","true","3528904","null","","",""
"723","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1861","2910311","0.0-2.0-5.309","GP","2","pretest","true","3528904","49","../img/tt/265tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1862","2910513","0.0-2.0-0.310","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/210tt.jpg","","mooney1","image-keyboard-response","1863","2913527","0.0-2.0-1.310","GP","2","pretest","true","3528904","null","../img/tt/210tt.jpg","",""
"938","<p></p>","","recognized","html-keyboard-response","1864","2914466","0.0-2.0-2.310","GP","2","pretest","true","3528904","78","../img/tt/210tt.jpg","n",""
"null","../img/gs/210gs.jpg","","solution","image-keyboard-response","1865","2916471","0.0-2.0-3.310","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/210tt.jpg","","mooney2","image-keyboard-response","1866","2918476","0.0-2.0-4.310","GP","2","pretest","true","3528904","null","","",""
"1577","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1867","2920054","0.0-2.0-5.310","GP","2","pretest","true","3528904","50","../img/tt/210tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1868","2920262","0.0-2.0-0.311","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1366tt.jpg","","mooney1","image-keyboard-response","1869","2923274","0.0-2.0-1.311","GP","2","pretest","true","3528904","null","../img/tt/1366tt.jpg","",""
"765","<p></p>","","recognized","html-keyboard-response","1870","2924041","0.0-2.0-2.311","GP","2","pretest","true","3528904","78","../img/tt/1366tt.jpg","n",""
"null","../img/gs/1366gs.jpg","","solution","image-keyboard-response","1871","2926054","0.0-2.0-3.311","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1366tt.jpg","","mooney2","image-keyboard-response","1872","2928059","0.0-2.0-4.311","GP","2","pretest","true","3528904","null","","",""
"614","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1873","2928674","0.0-2.0-5.311","GP","2","pretest","true","3528904","52","../img/tt/1366tt.jpg","","4"
