"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","responses","question_order","currentStim","old","correct"
"4250.334999989718","","","post_mooney1_questions","survey-likert","379","1254571","0.0-6.0-2.53","2955911","co39031","norming","","","{""curiosity"":5,""confidence"":0}","[0,1]","../img/tt/412tt.jpg","",""
"328.90000008046627","","","recognition","survey-text","380","1254904","0.0-6.0-3.53","2955911","co39031","norming","","","{""guess"":""""}","","../img/tt/412tt.jpg","",""
"null","../img/gs/412gs.jpg","null","reveal","image-keyboard-response","381","1256909","0.0-6.0-4.53","2955911","co39031","norming","","","","","","",""
"null","../img/tt/412tt.jpg","null","mooney2","image-keyboard-response","382","1258915","0.0-6.0-5.53","2955911","co39031","norming","","","","","","",""
"2295.255000004545","","","post_reveal_questions","survey-likert","383","1261213","0.0-6.0-6.53","2955911","co39031","norming","","","{""aha"":1}","[0]","../img/tt/412tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","384","1261419","0.0-6.0-0.54","2955911","co39031","norming","","","","","","",""
"null","../img/tt/306tt.jpg","null","mooney1","image-keyboard-response","385","1264423","0.0-6.0-1.54","2955911","co39031","norming","","","","","","",""
"6161.589999916032","","","post_mooney1_questions","survey-likert","386","1270588","0.0-6.0-2.54","2955911","co39031","norming","","","{""curiosity"":4,""confidence"":1}","[0,1]","../img/tt/306tt.jpg","",""
"5119.625000050291","","","recognition","survey-text","387","1275711","0.0-6.0-3.54","2955911","co39031","norming","","","{""guess"":""grijpend hand""}","","../img/tt/306tt.jpg","",""
"null","../img/gs/306gs.jpg","null","reveal","image-keyboard-response","388","1277719","0.0-6.0-4.54","2955911","co39031","norming","","","","","","",""
"null","../img/tt/306tt.jpg","null","mooney2","image-keyboard-response","389","1279723","0.0-6.0-5.54","2955911","co39031","norming","","","","","","",""
"9364.500000025146","","","post_reveal_questions","survey-likert","390","1289090","0.0-6.0-6.54","2955911","co39031","norming","","","{""aha"":3}","[0]","../img/tt/306tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","391","1289293","0.0-6.0-0.55","2955911","co39031","norming","","","","","","",""
"null","../img/tt/1181tt.jpg","null","mooney1","image-keyboard-response","392","1292297","0.0-6.0-1.55","2955911","co39031","norming","","","","","","",""
