,mooney,solution,labelsEn,labelsNl
68,img/tt/069tt.jpg,img/gs/069gs.jpg,"snake, python, mamba, cobra, serpent",
69,img/tt/070tt.jpg,img/gs/070gs.jpg,"rhinoceros, rhino, hippopotamus",
70,img/tt/071tt.jpg,img/gs/071gs.jpg,"kangaroo, wallaby, wallaroo",
71,img/tt/072tt.jpg,img/gs/072gs.jpg,ostrich,
72,img/tt/073tt.jpg,img/gs/073gs.jpg,"backback, bag",
73,img/tt/074tt.jpg,img/gs/074gs.jpg,"pineapple, ananas, pineapple tree",
74,img/tt/075tt.jpg,img/gs/075gs.jpg,"flamingo, flamingos",
75,img/tt/076tt.jpg,img/gs/076gs.jpg,"skate, skates, inline skates, rollerskates, rollerblade",
76,img/tt/077tt.jpg,img/gs/077gs.jpg,"wrench, tool",
77,img/tt/078tt.jpg,img/gs/078gs.jpg,"grapes, vine",
78,img/tt/079tt.jpg,img/gs/079gs.jpg,"bear, brown bear, grizzly",
79,img/tt/080tt.jpg,img/gs/080gs.jpg,"mushroom, fungi",
80,img/tt/081tt.jpg,img/gs/081gs.jpg,"frog, toad, bullfrog",
81,img/tt/082tt.jpg,img/gs/082gs.jpg,"bird, parrot, ",
82,img/tt/083tt.jpg,img/gs/083gs.jpg,"fish, trout, tuna, herring, cod, carp",
83,img/tt/084tt.jpg,img/gs/084gs.jpg,"duck, goose, fowl, swan",
84,img/tt/085tt.jpg,img/gs/085gs.jpg,"grashopper, cricket, locust, mantis, praying mantis",
85,img/tt/086tt.jpg,img/gs/086gs.jpg,"snake, python, mamba, cobra, serpent",
86,img/tt/087tt.jpg,img/gs/087gs.jpg,"canoe, kayak, dog, kayaker",
87,img/tt/088tt.jpg,img/gs/088gs.jpg,elephant,
88,img/tt/089tt.jpg,img/gs/089gs.jpg,"hammock, person, human",
89,img/tt/090tt.jpg,img/gs/090gs.jpg,"mushroom, fungi",
90,img/tt/091tt.jpg,img/gs/091gs.jpg,"iguana, iguanadon, lizard",
91,img/tt/092tt.jpg,img/gs/092gs.jpg,"gramophone, phonograph, record player",
92,img/tt/093tt.jpg,img/gs/093gs.jpg,"tick, spider",
93,img/tt/094tt.jpg,img/gs/094gs.jpg,"wolf, dog",
94,img/tt/095tt.jpg,img/gs/095gs.jpg,"kangaroo, wallaby, wallaroo",
95,img/tt/096tt.jpg,img/gs/096gs.jpg,"piano, grand piano, keyboard",
96,img/tt/097tt.jpg,img/gs/097gs.jpg,ostrich,
97,img/tt/098tt.jpg,img/gs/098gs.jpg,"bird, hummingbird",
98,img/tt/099tt.jpg,img/gs/099gs.jpg,"wheelbarrow, wood",
99,img/tt/100tt.jpg,img/gs/100gs.jpg,"bear, brown bear, grizzly",
100,img/tt/101tt.jpg,img/gs/101gs.jpg,"mug, coffee cup, cup, breakfast, bread, plate, sandwich",
101,img/tt/102tt.jpg,img/gs/102gs.jpg,"gerenuk, gazelle, giraffe gazelle, antelope, deer",
102,img/tt/103tt.jpg,img/gs/103gs.jpg,"squid, tentacles, octopus",
103,img/tt/104tt.jpg,img/gs/104gs.jpg,"frog, toad, bullfrog",
104,img/tt/105tt.jpg,img/gs/105gs.jpg,"paperclips, gem clips, clips, paper fastener",
105,img/tt/106tt.jpg,img/gs/106gs.jpg,"kangaroo, wallaby, wallaroo",
106,img/tt/107tt.jpg,img/gs/107gs.jpg,binoculars,
107,img/tt/108tt.jpg,img/gs/108gs.jpg,"ape, monkey, gorilla",
108,img/tt/109tt.jpg,img/gs/109gs.jpg,"gun, rifle, revolver, firearm, weapon, six-shooter, pistol, handgun",
109,img/tt/110tt.jpg,img/gs/110gs.jpg,horse,
110,img/tt/111tt.jpg,img/gs/111gs.jpg,"shower, showerhead",
111,img/tt/112tt.jpg,img/gs/112gs.jpg,"whistle, referee whistle",
112,img/tt/113tt.jpg,img/gs/113gs.jpg,"backback, bag",
113,img/tt/114tt.jpg,img/gs/114gs.jpg,platypus,
114,img/tt/115tt.jpg,img/gs/115gs.jpg,"starfish, sea star",
115,img/tt/116tt.jpg,img/gs/116gs.jpg,"seat, stool, chair, director’s chair, folding chair",
116,img/tt/117tt.jpg,img/gs/117gs.jpg,"ape, monkey, gorilla, chimp, chimpanzee, bonobo",
117,img/tt/118tt.jpg,img/gs/118gs.jpg,"chair, seat, stool",
118,img/tt/119tt.jpg,img/gs/119gs.jpg,"pie, cake, birthday cake",
119,img/tt/120tt.jpg,img/gs/120gs.jpg,"person, man, sitting, human",
120,img/tt/121tt.jpg,img/gs/121gs.jpg,"kangaroo, wallaby, wallaroo",
121,img/tt/122tt.jpg,img/gs/122gs.jpg,"buddha, statue",
122,img/tt/123tt.jpg,img/gs/123gs.jpg,"bag, briefcase",
