	"mooney"	"i"	"mooneys"	"solution"	"labelsEn"	"labelsNl"	"broadcat"
41	"img/tt/126tt.jpg"	81	"img/tt/126tt.jpg"	"img/gs/126gs.jpg"	"cow, bovine"	"koe, rund"	"animal"
42	"img/tt/135tt.jpg"	87	"img/tt/135tt.jpg"	"img/gs/135gs.jpg"	"toilet, wc, water closet, restroom, lavatory, bathroom, seat, washroom, toilet seat"	"wc, toilet, badkamer, bril, toiletbril, wc-bril"	"object"
43	"img/tt/140tt.jpg"	91	"img/tt/140tt.jpg"	"img/gs/140gs.jpg"	"forks, cutlery, kitchenware"	"vork, vorken, bestek"	"object"
44	"img/tt/163tt.jpg"	101	"img/tt/163tt.jpg"	"img/gs/163gs.jpg"	"frog, toad, bullfrog"	"kikker, pad"	"animal"
45	"img/tt/184tt.jpg"	112	"img/tt/184tt.jpg"	"img/gs/184gs.jpg"	"sandwich, finger, eating, hand, bread"	"vinger, duim, hand, brood, boterham, eten"	"object"
46	"img/tt/189tt.jpg"	117	"img/tt/189tt.jpg"	"img/gs/189gs.jpg"	"hammock,"	"hangmat"	"object"
47	"img/tt/194tt.jpg"	119	"img/tt/194tt.jpg"	"img/gs/194gs.jpg"	"harp, woman"	"harp, vrouw, muziekinstrument, harpspeelster"	"human"
48	"img/tt/222tt.jpg"	134	"img/tt/222tt.jpg"	"img/gs/222gs.jpg"	"bath, tub, bathtub, couple, man, woman"	"bad, badkuip, koppel, vrouw, man"	"human"
49	"img/tt/270tt.jpg"	160	"img/tt/270tt.jpg"	"img/gs/270gs.jpg"	"reindeer, deer, moose, elk, wapiti, muntjac, chital, antler"	"rendier, eland, hert, wapiti, gewei"	"animal"
50	"img/tt/273tt.jpg"	161	"img/tt/273tt.jpg"	"img/gs/273gs.jpg"	"braces, teeth, dental, fingers, hand"	"beugel, blokjes, tanden, tand, vingers, hand, mond "	"object"
51	"img/tt/279tt.jpg"	165	"img/tt/279tt.jpg"	"img/gs/279gs.jpg"	"bear, koala, koala bear"	"beer, koalabeer, koala"	"animal"
52	"img/tt/296tt.jpg"	171	"img/tt/296tt.jpg"	"img/gs/296gs.jpg"	"hospital, bed, hospital bed"	"bed, ziekenhuis, ziekenhuisbed"	"object"
53	"img/tt/300tt.jpg"	174	"img/tt/300tt.jpg"	"img/gs/300gs.jpg"	"woman, human, person, headscarf, sitting, praying"	"vrouw, mens, person, zitten, bidden, sjaal"	"human"
