,subject,nbofobs,countguess,countmem,accfamstd,accstd,accmemstd,confstd,curstd,ahastd,curiosity,confidence,aha,rtguess,rtaha,rtcurcon,curiosity_z,aha_z,confidence_z,old,accfam,rtfamiliar,rtpostguess,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,debrief,datajoin,fiveDCR,joyexp,deprsens,stresstol,ovsoccur,cosoccur,thrillseek,perccur,NCS,AQ28,socskills,routine,switching,imagination,numbpatt,acc,accmem,madeguess
64,37945,80,61,63,0.4974619125424375,0.4202169421632267,0.4202169421632268,1.5260916408271596,1.2578236176684536,1.6838303982665779,3.9875,1.8875,2.4875,4286.687499999852,3997.888687499874,5858.231624999985,1.9984014443252818e-16,1.1379786002407854e-16,8.326672684688674e-18,1.0,0.425,1124.2478124998365,3713.2821249999483,2.0,3.0,2.0,3.0,1.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,0.0,0.0,1.0,5.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,0.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,0.0,3.0,1.0,5.0,5.0,3.0,5.0,1.0,4.0,2.0,3.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,72.0,10.0,10.0,19.0,11.0,15.0,7.0,24.0,41.0,88.0,16.0,17.0,16.0,30.0,9.0,0.225,0.225,0.7625
65,37948,80,77,71,0.41165765548141536,0.44933143021295,0.49298881801065664,1.504423856245475,0.8479312128776438,1.6020161348134203,4.7,3.7,4.375,2209.7801250201883,3498.048999995808,5632.356250000885,-2.1510571102112408e-16,-4.8572257327350596e-18,-1.4155343563970745e-16,1.0,0.7875,970.8389375024126,2116.6298750031274,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,4.0,0.0,1.0,2.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,83.0,12.0,10.0,16.0,16.0,16.0,13.0,37.0,50.0,82.0,17.0,15.0,15.0,24.0,11.0,0.275,0.6,0.9625
66,37951,80,80,80,0.3018927632559765,0.44933143021295,0.45545220260830827,1.7340594065130688,0.7238041206454209,2.143543440430508,4.7875,2.075,2.9875,3722.022500000011,2413.9188750000044,4530.727062499986,5.592748486549226e-16,5.0653925498522766e-17,-1.0408340855860843e-16,1.0,0.9,1068.8552499999932,3131.0070000000064,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,0.0,3.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,5.0,0.0,2.0,4.0,0.0,3.0,0.0,4.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,2.0,1.0,3.0,3.0,0.0,1.0,87.0,15.0,17.0,16.0,15.0,14.0,10.0,37.0,37.0,72.0,14.0,8.0,13.0,23.0,14.0,0.275,0.7125,1.0
67,37954,80,80,69,0.33280548924392167,0.3927749379717781,0.5006325113218328,1.6140208459432117,1.4399367074698066,1.8933594816046635,4.45,2.05,4.4,2697.70743749998,3293.202937500003,5454.835249999992,-1.2906342661267446e-16,-1.942890293094024e-16,1.0824674490095276e-16,1.0,0.875,2047.5232499999722,3716.6118750000023,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,0.0,3.0,0.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,0.0,1.0,89.0,14.0,15.0,16.0,15.0,16.0,13.0,38.0,48.0,85.0,26.0,15.0,15.0,16.0,13.0,0.1875,0.55,1.0
68,37960,80,58,57,0.38236439641468917,0.41165765548141536,0.49746191254243755,1.0062305898749053,1.282550860145811,1.4754853310098737,2.025,1.1125,3.4875,2797.6517500002033,2828.3699999998703,4043.1898749998486,3.7470027081099036e-17,1.8179902028236938e-16,3.816391647148976e-18,1.0,0.825,846.7013750001003,2698.42850000007,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,0.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,75.0,11.0,9.0,17.0,12.0,13.0,13.0,24.0,48.0,86.0,18.0,13.0,17.0,30.0,8.0,0.2125,0.575,0.725
69,37966,80,53,50,0.5006325113218327,0.3823643964146893,0.5025252685881779,1.4642901248114233,1.368497281738836,1.9584287165926373,4.525,1.5875,4.75,2764.086499999977,2748.6818125,6116.952937500027,-2.498001805406602e-16,-5.551115123125783e-18,2.914335439641036e-17,1.0,0.55,1540.515187500033,2689.85750000003,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,84.0,15.0,15.0,9.0,17.0,15.0,13.0,43.0,54.0,90.0,25.0,16.0,16.0,21.0,12.0,0.175,0.475,0.6625
70,37987,80,61,58,0.4554522026083083,0.42021694216322686,0.5025252685881779,1.321140186507497,0.9856566275036006,1.5227702104795886,4.375,1.3375,3.6875,2303.9753124999665,2315.110187499984,3630.640624999995,0.0,3.191891195797325e-17,7.216449660063518e-17,1.0,0.7125,769.2538749999978,2103.325562499996,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,1.0,1.0,80.0,12.0,9.0,18.0,13.0,14.0,14.0,32.0,40.0,90.0,18.0,17.0,15.0,22.0,18.0,0.225,0.525,0.7625
71,37990,80,73,76,0.2435886759231116,0.500632511321833,0.3823643964146892,1.9596806120553996,1.4088328951945575,1.551642657543566,4.2,3.7875,3.65,2921.8311874996007,3300.1070624997437,5327.894375000038,-1.304512053934559e-16,6.661338147750939e-17,-8.604228440844963e-17,1.0,0.9375,956.558124999993,2964.5644375002275,5.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,88.0,17.0,11.0,17.0,16.0,15.0,12.0,37.0,47.0,99.0,25.0,15.0,14.0,27.0,18.0,0.45,0.825,0.9125
72,37993,80,80,75,0.3465471637582117,0.4799789024899355,0.40252368434130215,2.082134676270145,1.935510922636596,1.9679392292768043,4.975,1.7625,4.975,5310.646937499862,2097.9560624999876,4410.404874999911,2.80331313717852e-16,2.1371793224034264e-16,4.718447854656915e-17,1.0,0.8625,1224.9866250000225,3429.377687500141,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,0.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,1.0,0.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,1.0,4.0,0.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,5.0,3.0,3.0,0.0,3.0,4.0,1.0,1.0,95.0,17.0,17.0,13.0,19.0,20.0,9.0,29.0,42.0,76.0,14.0,16.0,17.0,16.0,13.0,0.35,0.8,1.0
73,37999,80,53,70,0.40252368434130215,0.4493314302129501,0.42823600496614844,1.8514448685461367,1.6504218869923202,1.742933290661522,3.6875,1.7,3.5125,3685.9242500000037,3965.20462499987,6132.362500000166,2.7755575615628915e-18,-9.43689570931383e-17,7.771561172376095e-17,1.0,0.8,639.0511875000171,2668.8941874999555,4.0,3.0,5.0,4.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0,5.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,78.0,16.0,10.0,18.0,12.0,13.0,9.0,39.0,46.0,83.0,23.0,13.0,19.0,18.0,10.0,0.275,0.7625,0.6625
74,38005,80,78,72,0.31797420482911637,0.4357446703305951,0.461148813126632,1.8616720400785223,1.8486652728764181,1.1686165140720994,3.5125,2.45,0.6625,3393.1245625000215,3427.297562500008,5219.653500000109,-1.124100812432971e-16,6.661338147750939e-17,-9.853229343548264e-17,1.0,0.8875,841.9401249999297,3020.2293125000783,4.0,1.0,4.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,90.0,13.0,16.0,20.0,13.0,17.0,11.0,24.0,49.0,72.0,22.0,12.0,15.0,18.0,5.0,0.25,0.7,0.975
75,38014,80,68,66,0.3018927632559765,0.34654716375821176,0.48375509024895247,1.3368558427533606,1.34957799311254,1.5152703731669375,1.3375,1.3125,3.2125,4578.671312499971,2626.9842499999904,5301.353500000001,4.4408920985006264e-17,1.4155343563970745e-16,8.083811398051921e-17,1.0,0.9,816.5811875000102,4490.9983124999535,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,79.0,14.0,11.0,14.0,16.0,16.0,8.0,31.0,41.0,91.0,24.0,14.0,16.0,23.0,14.0,0.1375,0.6375,0.85
76,38020,80,53,65,0.4116576554814155,0.35932426031459797,0.501737487466418,1.4840395606996193,1.2111690136999194,1.977684043828839,5.6625,1.1125,4.0125,2920.9882500000176,4106.640312499973,6847.673249999983,3.2335245592207685e-16,-1.2212453270876723e-16,5.898059818321144e-18,1.0,0.7875,1288.7091249999853,3521.2810624999865,3.0,3.0,0.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,1.0,2.0,0.0,3.0,4.0,1.0,1.0,83.0,10.0,16.0,12.0,16.0,20.0,9.0,42.0,59.0,86.0,20.0,16.0,15.0,25.0,10.0,0.15,0.5375,0.6625
77,38026,80,65,60,0.4202169421632267,0.44933143021295,0.4953901416106939,1.3888684949276273,1.1225535988443853,1.6061590318032144,4.825,1.0875,3.05,3482.8044375001155,3503.0256875000064,5284.153625000001,-1.1310397063368783e-16,1.302777330458582e-16,1.07032438467769e-16,1.0,0.775,1269.0400625000505,2592.556062500001,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,77.0,14.0,13.0,16.0,14.0,13.0,7.0,29.0,43.0,94.0,23.0,13.0,17.0,31.0,10.0,0.275,0.5875,0.8125
78,38032,80,73,72,0.3712363878934856,0.47132992556613373,0.4902530991904312,2.028866054808555,1.2689076334700178,1.6958157739685369,3.9,2.3125,3.3125,3195.356499999997,2424.206437500057,4787.387687499964,7.077671781985372e-17,0.0,4.5796699765787705e-17,1.0,0.8375,723.8260624998569,2679.816124999951,3.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,5.0,1.0,3.0,1.0,5.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,0.0,5.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,96.0,14.0,18.0,18.0,17.0,12.0,17.0,36.0,38.0,77.0,20.0,12.0,19.0,13.0,13.0,0.325,0.6125,0.9125
79,38035,80,75,74,0.3823643964146892,0.45545220260830827,0.48375509024895236,1.9808817241479335,1.7077170340411878,1.946109393675468,3.9125,2.8875,2.9,3787.8955625055823,2801.2278750131372,4834.575000006589,-7.216449660063518e-17,3.348016308635238e-17,-1.0269562977782698e-16,1.0,0.825,716.2099999986822,2458.913062483771,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,1.0,1.0,3.0,5.0,4.0,4.0,1.0,5.0,4.0,0.0,0.0,4.0,2.0,2.0,5.0,4.0,0.0,1.0,77.0,14.0,10.0,15.0,16.0,14.0,8.0,30.0,53.0,96.0,21.0,16.0,20.0,22.0,17.0,0.2875,0.6375,0.9375
80,38044,80,61,66,0.3593242603145979,0.39277493797177815,0.49025309919043114,1.0184997654157306,0.6930943275164233,1.2424455264018415,4.475,1.275,3.275,2093.924250000022,3154.2264999999884,4975.944687499991,5.384581669432009e-16,7.771561172376095e-17,7.216449660063518e-17,1.0,0.85,1224.6694375000284,2447.967312500035,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,80.0,11.0,11.0,16.0,15.0,16.0,11.0,27.0,44.0,92.0,25.0,15.0,14.0,26.0,12.0,0.1875,0.6125,0.7625
81,38047,80,75,72,0.3465471637582117,0.42823600496614833,0.4554522026083083,2.139294808688371,1.456054578890799,1.7787422664998187,2.8625,2.675,3.025,4216.419437500017,3979.3069375000387,6465.822687499989,8.881784197001253e-17,5.2735593669694933e-17,9.367506770274758e-17,1.0,0.8625,1098.2044374999853,3159.457312499947,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,0.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,3.0,3.0,1.0,1.0,78.0,10.0,9.0,17.0,15.0,17.0,10.0,36.0,47.0,79.0,18.0,14.0,14.0,19.0,14.0,0.2375,0.7125,0.9375
82,38050,80,40,42,0.4902530991904313,0.3593242603145979,0.4554522026083083,1.7630166896831312,0.5905371937610616,1.3021403995933636,4.075,1.175,3.975,3211.5036249999957,4887.934500000016,7245.835062500017,-3.608224830031759e-16,-1.0334615108131829e-16,1.1102230246251565e-16,1.0,0.6125,1207.5099999999918,3404.002750000052,4.0,2.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,86.0,15.0,13.0,16.0,14.0,16.0,12.0,34.0,43.0,82.0,21.0,10.0,17.0,25.0,9.0,0.15,0.2875,0.5
83,38059,80,51,48,0.43574467033059494,0.40252368434130215,0.5017374874664181,1.7795871374413885,1.409674978249879,1.6280278509731654,2.6125,2.1875,2.5875,4187.255749999895,5382.930000001215,7258.81256250068,2.0816681711721685e-16,5.412337245047638e-17,-1.6653345369377347e-17,1.0,0.75,1776.6818750045786,3415.4011250007898,4.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,72.0,13.0,10.0,18.0,13.0,11.0,7.0,25.0,37.0,90.0,20.0,16.0,18.0,27.0,9.0,0.2,0.4625,0.6375
84,38065,80,58,62,0.42021694216322675,0.42823600496614844,0.4713299255661338,0.940979828675771,0.6675100150957771,1.0696474043441855,1.6,0.975,1.9125,3242.862375000181,4123.90374999985,5079.125562499959,-1.304512053934559e-16,-4.9960036108132046e-17,1.4710455076283324e-16,1.0,0.775,950.5311874999868,3516.3443124999903,3.0,0.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,5.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0,0.0,4.0,2.0,1.0,5.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,67.0,11.0,16.0,12.0,15.0,12.0,1.0,24.0,55.0,80.0,23.0,18.0,16.0,15.0,8.0,0.2375,0.675,0.725
85,38071,80,77,66,0.37123638789348556,0.42823600496614833,0.49920823386588253,1.3453506436726375,0.745874730718269,1.677050983124842,4.225,1.9875,1.8125,3949.0839375001938,2747.7867499999743,4871.576062500069,4.2188474935755947e-16,-1.6653345369377347e-17,-2.4980018054066023e-17,1.0,0.8375,1156.0218125000392,3760.5746875002196,3.0,1.0,2.0,3.0,5.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,0.0,4.0,2.0,2.0,0.0,3.0,1.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,5.0,1.0,0.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,85.0,9.0,15.0,20.0,15.0,15.0,11.0,27.0,40.0,87.0,30.0,11.0,13.0,19.0,14.0,0.2375,0.5625,0.9625
86,38077,80,75,77,0.3823643964146892,0.44933143021295,0.49746191254243755,1.5159489654413785,1.3696530097395503,1.9783639833541529,4.15,1.825,3.6,2851.9833749999643,3200.7390624999557,6069.472187499982,-2.5396351688300457e-16,-2.7755575615628914e-17,5.4817261840867107e-17,1.0,0.825,860.6454375000554,3522.0753125001065,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,1.0,5.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,1.0,95.0,15.0,15.0,17.0,18.0,19.0,11.0,33.0,50.0,85.0,19.0,13.0,15.0,22.0,16.0,0.275,0.575,0.9375
87,38083,80,45,53,0.44933143021294997,0.3465471637582117,0.5025252685881778,1.1306293755294556,0.6005008458135465,1.619452556353066,4.6375,1.0125,3.3125,1886.7782500000365,2391.4938124999435,3783.459374999861,-3.4416913763379854e-16,-8.326672684688674e-18,2.2204460492503132e-17,1.0,0.725,716.006187500179,2802.9717499999797,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,72.0,12.0,9.0,16.0,14.0,13.0,8.0,28.0,41.0,90.0,23.0,15.0,14.0,27.0,11.0,0.1375,0.525,0.5625
