,subject,nbofobs,countguess,countmem,accfamstd,accstd,accmemstd,confstd,curstd,ahastd,curiosity,confidence,aha,rtguess,rtaha,rtcurcon,curiosity_z,aha_z,confidence_z,old,accfam,rtfamiliar,rtpostguess,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,debrief,datajoin,fiveDCR,joyexp,deprsens,stresstol,ovsoccur,cosoccur,thrillseek,perccur,NCS,AQ28,socskills,routine,switching,imagination,numbpatt,acc,accmem,madeguess
11,37549,80,64,64,0.38236439641468917,0.4493314302129499,0.48375509024895247,1.5475583054802036,0.992376000607773,1.5421811776863723,4.45,1.9,3.3375,3000.112562499991,3986.865625000003,6811.280937499995,-1.582067810090848e-16,8.049116928532385e-17,1.2628786905111155e-16,1.0,0.825,900.8100625000516,2486.1501874999985,4.0,4.0,5.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,0.0,1.0,91.0,17.0,10.0,18.0,17.0,17.0,12.0,41.0,35.0,83.0,20.0,12.0,16.0,21.0,14.0,0.275,0.6375,0.8
12,37553,80,60,62,0.4116576554814155,0.42823600496614833,0.4799789024899355,1.2689076334700173,1.8342728701110194,1.787394327229629,3.45,0.9,1.7125,2833.8109374963096,1970.6963749980787,4265.823062500567,-1.1449174941446927e-16,7.216449660063518e-17,9.124645483638006e-17,1.0,0.7875,922.0426874919212,3362.163062511536,2.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,0.0,4.0,4.0,0.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.0,10.0,3.0,26.0,14.0,12.0,16.0,31.0,15.0,65.0,20.0,8.0,16.0,21.0,0.0,0.2375,0.65,0.75
13,37555,80,47,65,0.4025236843413021,0.34654716375821165,0.4713299255661338,0.9756529783571694,0.6637065082654565,1.2975146641936146,5.3,0.9,4.25,2728.6673749999945,3346.936437499981,6217.888312500014,3.559652572704408e-16,7.771561172376095e-17,-7.45931094670027e-18,1.0,0.8,1215.5356874999882,2642.5070624999817,3.0,2.0,5.0,4.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,2.0,1.0,5.0,1.0,1.0,2.0,5.0,2.0,3.0,4.0,3.0,1.0,1.0,89.0,14.0,11.0,19.0,16.0,18.0,11.0,38.0,52.0,79.0,18.0,13.0,12.0,19.0,17.0,0.1375,0.675,0.5875
14,37558,80,65,76,0.4282360049661484,0.4202169421632268,0.48375509024895247,1.5700923136611178,1.7283470555139662,1.8824640464231843,3.1125,1.875,2.775,2287.8591249999968,3333.9335625000326,5994.717249999991,1.0547118733938987e-16,6.245004513516506e-17,-2.2204460492503132e-17,1.0,0.7625,1092.0568124999932,2828.42331250002,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,0.0,3.0,5.0,0.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,4.0,1.0,1.0,91.0,16.0,20.0,14.0,19.0,12.0,10.0,38.0,37.0,98.0,20.0,19.0,26.0,15.0,18.0,0.225,0.6375,0.8125
15,37561,80,68,71,0.4202169421632267,0.3927749379717781,0.5006325113218328,1.4240253162306573,0.9392125708084174,1.813451845221347,4.5625,1.65,2.95,4600.8714375000045,4423.497312500011,8485.428999999986,1.0269562977782698e-16,-1.304512053934559e-16,3.053113317719181e-17,1.0,0.775,1665.711625000037,4968.02950000001,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,63.0,13.0,8.0,15.0,12.0,14.0,1.0,27.0,56.0,101.0,29.0,18.0,16.0,29.0,9.0,0.1875,0.55,0.85
16,37567,80,72,70,0.3593242603145979,0.4116576554814153,0.501737487466418,0.6930943275164233,1.0901602483527861,1.5778831356831906,3.6625,1.225,4.0625,3501.602500000006,3005.0364374999945,6579.254625000023,-2.7200464103316337e-16,-2.7755575615628915e-18,-1.2212453270876723e-16,1.0,0.85,1395.4250625000132,4528.522375000012,4.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,79.0,15.0,7.0,20.0,15.0,15.0,7.0,36.0,41.0,86.0,26.0,17.0,13.0,20.0,10.0,0.2125,0.5375,0.9
17,37573,80,64,72,0.44276890563528554,0.3823643964146893,0.5029973450366553,2.398278654854167,2.609500655467646,2.1873847166728986,3.525,3.2875,4.5125,4087.579249999544,4009.0217499950086,5514.619312499417,9.43689570931383e-17,-1.609823385706477e-16,-3.608224830031759e-17,1.0,0.7375,1147.1960624927306,3544.30331250187,3.0,5.0,4.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,4.0,0.0,4.0,4.0,2.0,0.0,0.0,4.0,0.0,3.0,1.0,3.0,4.0,3.0,4.0,0.0,3.0,2.0,4.0,1.0,4.0,0.0,4.0,1.0,4.0,5.0,0.0,4.0,3.0,4.0,5.0,4.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,94.0,16.0,7.0,24.0,16.0,16.0,15.0,27.0,33.0,57.0,13.0,11.0,17.0,11.0,5.0,0.175,0.5125,0.8
18,37576,80,45,59,0.4554522026083082,0.3712363878934857,0.5029973450366554,1.8503762874246124,1.0878355004086633,1.063713937942035,3.8625,1.7625,3.5875,2622.3082500000455,2925.752937500018,4249.705437499952,1.6653345369377348e-16,4.9960036108132046e-17,-1.3877787807814458e-18,1.0,0.7125,1174.3559999999677,2407.9258750000154,1.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,1.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,0.0,3.0,3.0,3.0,4.0,5.0,1.0,0.0,4.0,1.0,0.0,1.0,69.0,11.0,12.0,12.0,11.0,14.0,9.0,27.0,55.0,95.0,28.0,20.0,16.0,20.0,11.0,0.1625,0.4875,0.5625
19,37585,80,67,63,0.41165765548141536,0.42021694216322675,0.5006325113218328,1.246514126817033,1.377026699685075,1.6335098501018435,3.95,1.625,3.8,4428.226125000028,4089.346249999996,7908.264749999995,-1.6722734308416421e-16,1.249000902703301e-16,-8.257283745649602e-17,1.0,0.7875,1756.8284999999858,5743.625625000032,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,72.0,10.0,8.0,13.0,16.0,12.0,13.0,36.0,40.0,93.0,26.0,14.0,19.0,28.0,6.0,0.225,0.55,0.8375
20,37600,80,79,72,0.2650531353464094,0.44933143021294997,0.43574467033059505,2.0312433057338573,1.8200274723201295,2.2132726784937926,3.5625,2.725,3.3875,2594.7366250000296,2268.894437500002,4526.007999999996,2.2204460492503132e-17,-7.771561172376095e-17,-5.551115123125783e-17,1.0,0.925,780.500312499996,2608.7581250000017,4.0,1.0,3.0,4.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,2.0,5.0,1.0,3.0,0.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,1.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,72.0,12.0,5.0,19.0,12.0,13.0,11.0,33.0,48.0,75.0,20.0,14.0,13.0,18.0,10.0,0.275,0.75,0.9875
